block,range,reg,rw,pnum,name,desc,lo,hi,unit,res,obj,rvs61,rvs21
,,"teehs ""noitpircseDllocotorP"" ]ced[",W/R,rebmuN,retemaraP,noitpircseD,timiL,timiL,tinU,noituloseR,tcejbO,16SVR,12SVR
,,ees( sserddA,,,,,rewoL,reppU,,,,,
,,retsigeR,,,,/noitaremunE,,,,,,,
,,BdM,,,,,,,,,,,
Heating circuit 1,0x0400...0x07FBFL,1024,R/W,700,Operating Mode,0: Protection | x 1: Automatic | 2: Reduced | 3: Comfort,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1025,R/W,710,Comfort setpoint,,4,35,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1026,R/W,712,Reduced setpoint,,4,35,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1027,R/W,714,Frost protection setpoint,,4,35,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1028,R/W,720,Heating curve slope,,0.1,4,,1/50,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1029,R/W,721,Heating curve displacement,,-4.5,4.5,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1030,R/W,730,Summer/winter heating limit,,8,30,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1031,R/W,730,Status/Comand,"See sheet ""Status_Command"" | Status: (Read) | Bit0:ObjectUnused | Bit1:SensorShortCircuit | Bit6:DeviceFailure | Comand: (Write) | 0: Release | 1: Write | 5: SetOutOfService | 6: ResetOutOfService",,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1032,R/W,732,24-hour heating limit,,-10,10,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1033,R/W,732,Status/Comand,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1034,R/W,740,Flow temp setpoint min,,8,95,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1035,R/W,741,Flow temp setpoint max,,8,95,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1036,R/W,742,Flow temp setpoint room stat,,8,95,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1037,R/W,742,Status/Comand,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1038,R/W,750,Room influence,,1,100,%,1,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1039,R/W,750,Status/Comand,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1040,R,8739,Relative room humidity 1,,0,100,%,1,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1041,R,8739,Status,Status: (Read) | Bit0:ObjectUnused | Bit1:SensorShortCircuit | Bit6:DeviceFailure,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1042,R,8740,Room temperature 1,,0,50,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1043,R,8740,Status,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1044,R,8741,Room setpoint 1,,4,35,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1045,R,8741,Status,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1046,R,8743,Flow temperature 1,,0,140,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1047,R,8743,Status,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1048,R,8744,Flow temperature setpoint 1,,0,140,°C,1/64,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1049,R,8744,Status,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1050,R,8749,Room thermostat 1,x 0: No demand | 1: Demand,0,1,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1051,R,8749,Status,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1052,R/W,6740,Flow temp 1 alarm,,10,240,min,1,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1053,R/W,6740,Status/Comand,see description,,,,,x,x,x
Heating circuit 1,0x0400...0x07FBFL,1054,R,8000,State heating circuit 1,see description: status codes,0,1000,,,x,x,x
Cooling circuit 1,0x0800...0x0BFBFL,2048,R/W,901,Operating mode,0: Off | x 1: Automatic,0,1,,,x,x,x
Cooling circuit 1,0x0800...0x0BFBFL,2049,R/W,902,Comfort setpoint,,15,40,°C,1/64,x,x,x
Cooling circuit 1,0x0800...0x0BFBFL,2050,R/W,907,Release,x 1: 24h/day,1,3,,,x,x,x
Cooling circuit 1,0x0800...0x0BFBFL,2051,R/W,908,Flow temp setp at OT 25°C,,6,35,°C,1/64,x,x,x
